product_key,label,carbs_g_serving,protein_g_serving,servings_per_container
1532586,CLIF BAR Energy Bar Variety Pack (26-count 2.4oz),44,9,26
965181,Clif Builder's Protein Bar Variety Pack (18-count 2.4oz),30,20,18
986292,Clif Kid ZBar Organic Granola Bar Variety Pack (18-count 1.27oz),22,3,18
1618252,Nature's Bakery Fig Bar Variety Pack (36-count 2oz),27,2,36
1979502,Arroyo Baking Co. Fig Bars Variety Pack (2oz bars),27,2,30
1175308,Power Crunch Protein Energy Bar French Vanilla (12-count 1.4oz),10,14,12
1984559,RXBAR Protein Energy Bar Strawberry Peanut Butter (12-count 1.83oz),24,12,12
1267379,Liquid I.V. Hydration Multiplier Lemon Lime (30 packets),11,0,30
1947971,Liquid I.V. Hydration Multiplier Rainbow Sherbet (30 packets),11,0,30
2049358,Liquid I.V. Hydration Multiplier Sugar Free Variety (30 packets),3,0,30
1374447,Zipfizz Multi-Vitamin Hydration Drink Mix Variety (30 tubes),2,0,30
1329807,Zipfizz Multi-Vitamin Hydration Drink Mix (30 tubes),2,0,30
1394201,Kirkland Organic Coconut Water 11.2 fl oz (18-count),9,0,18
1218891,Vita Coco Coconut Water 11.1 fl oz (18-count),9,0,18
1163635,Desert Valley Organic Deglet Noor Pitted Dates (40 oz),25,0,28
1458235,Made in Nature USDA Organic Dates 2-pack (40 oz x2),25,0,56
1243880,Optimum Nutrition Gold Standard 100% Whey (5 lb),3,24,74
1243864,Optimum Nutrition Gold Standard 100% Whey Double Rich Chocolate (5 lb),3,24,74
1666598,Ascent 100% Whey Native Protein Blend (4 lb),5,25,52
1502205,Orgain Organic Protein + Superfoods Plant Based Powder,15,21,20
1195611,Orgain Organic Protein + Superfoods Vanilla Bean,15,21,20
1392756,Further Food Grass-Fed Collagen Peptides Plus Mushroom,0,10,20
